               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084481,            0.031837,            0.022972,             0.17034,             0.56808,              0.2475,            0.090011,            0.040892,            0.022283,             0.01265,            0.070462,           0.0032821,           0.0032821
                   1,              0.0546,            0.024594,            0.010886,             0.42768,              0.6345,             0.55657,             0.20976,            0.041709,             0.01095,           0.0041053,             0.03937,           0.0055238,           0.0055238
                   2,            0.049286,             0.01918,           0.0061256,             0.57735,             0.83168,             0.77622,              0.4177,            0.029103,           0.0081015,           0.0034968,           0.0071785,           0.0066656,           0.0066656
                   3,            0.041215,            0.017499,           0.0043776,             0.91438,             0.85403,             0.94882,             0.43094,            0.029239,            0.007061,           0.0028335,             0.00505,             0.00505,             0.00505
                   4,            0.036653,            0.015635,           0.0033693,             0.85979,             0.92507,             0.92788,             0.55612,            0.024216,           0.0063911,            0.001597,             0.00505,             0.00505,             0.00505
                   5,            0.031059,            0.014428,           0.0034614,             0.98234,             0.95508,             0.98734,             0.68654,             0.01689,           0.0057268,           0.0013174,              0.0034,              0.0034,              0.0034
