                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                0.52943,                    1.3,                0.61574,                      1,               0.000802
                      1,                0.37326,                0.39171,                0.97609,                      1,               0.000604
                      2,                0.32152,                0.31348,                0.99825,                      1,               0.000406
                      3,                0.30539,                0.29786,                      1,                      1,               0.000208
                      4,                0.30298,                0.29554,                      1,                      1,                  1e-05
