                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                0.66387,                0.64952,                0.84987,                      1,               0.000802
                      1,                 0.4481,                0.42544,                0.94162,                      1,               0.000604
                      2,                0.37745,                 0.3766,                0.97665,                      1,               0.000406
                      3,                0.32946,                0.35452,                0.97581,                      1,               0.000208
                      4,                0.31265,                0.30621,                      1,                      1,                  1e-05
